Bystřice nad Pernštejnem;Dalečín;563
Dobříš;Daleké Dušníky;354
Třebíč;Dalešice;515
Jablonec nad Nisou;Dalešice;164
Karlovy Vary;Dalovice;1672
Mladá Boleslav;Dalovice;187
Kyjov;Dambořice;1158
Moravský Krumlov;Damnice;310
Lanškroun;Damníkov;584
Nové Město na Moravě;Daňkovice;123
Hlučín;Darkovice;1124
Olomouc;Daskabát;515
Sokolov;Dasnice;243
České Budějovice;Dasný;271
Pardubice;Dašice;1683
Černošice;Davle;1373
Tišnov;Deblín;891
Lovosice;Děčany;338
Děčín;Děčín;41134
Moravské Budějovice;Dědice;105
Hlinsko;Dědová;126
Pelhřimov;Dehtáře;94
Hlučín;Děhylov;641
Vlašim;Děkanovice;48
Rakovník;Děkov;174
Karlovy Vary;Děpoltovice;346
Tanvald;Desná;2597
Litomyšl;Desná;280
Klatovy;Dešenice;589
Dačice;Dešná;522
Vizovice;Dešná;174
Moravské Budějovice;Dešov;362
Jindřichův Hradec;Deštná;632
Boskovice;Deštná;206
Dobruška;Deštné v Orlických horách;480
Žatec;Deštnice;165
Jičín;Dětenice;624
Vyškov;Dětkovice;228
Prostějov;Dětkovice;447
Karviná;Dětmarovice;3683
Frýdlant;Dětřichov;591
Svitavy;Dětřichov;272
Bruntál;Dětřichov nad Bystřicí;366
Moravská Třebová;Dětřichov u Moravské Třebové;168
Jičín;Dílce;40
Domažlice;Díly;329
Soběslav;Dírná;355
Hustopeče;Diváky;419
Krnov;Dívčí Hrad;250
Jindřichův Hradec;Dívčí Kopy;62
České Budějovice;Dívčice;468
Hradec Králové;Divec;189
Benešov;Divišov;1367
Lovosice;Dlažkovice;103
Klatovy;Dlažov;402
Jihlava;Dlouhá Brtnice;315
Tábor;Dlouhá Lhota;142
Blansko;Dlouhá Lhota;103
Mladá Boleslav;Dlouhá Lhota;338
Příbram;Dlouhá Lhota;341
Uničov;Dlouhá Loučka;1656
Moravská Třebová;Dlouhá Loučka;469
Bruntál;Dlouhá Stráň;75
Ústí nad Orlicí;Dlouhá Třebová;1104
Havlíčkův Brod;Dlouhá Ves;361
Sušice;Dlouhá Ves;700
Nové Město na Moravě;Dlouhé;212
Šumperk;Dlouhomilov;426
Žamberk;Dlouhoňovice;667
Poděbrady;Dlouhopolsko;198
Liberec;Dlouhý Most;755
Tachov;Dlouhý Újezd;315
Stod;Dnešice;700
Moravský Krumlov;Dobelice;229
Písek;Dobev;775
Děčín;Dobkovice;555
Frýdek-Místek;Dobrá;2700
Pelhřimov;Dobrá Voda;177
Velké Meziříčí;Dobrá Voda;297
České Budějovice;Dobrá Voda u Českých Budějovic;2204
Hořice;Dobrá Voda u Hořic;486
Pacov;Dobrá Voda u Pacova;85
Frýdek-Místek;Dobratice;1067
Přerov;Dobrčice;192
Dobruška;Dobré;708
Mikulov;Dobré Pole;381
Zlín;Dobrkovice;222
Děčín;Dobrná;380
Bučovice;Dobročkovice;185
Brandýs nad Labem-Stará Boleslav;Dobročovice;247
Dačice;Dobrohošť;37
Prostějov;Dobrochov;285
Louny;Dobroměřice;1176
Prostějov;Dobromilice;655
Tábor;Dobronice u Bechyně;95
Jihlava;Dobronín;1567
Hlučín;Dobroslavice;656
Jihlava;Dobroutov;234
Mladá Boleslav;Dobrovice;2777
Čáslav;Dobrovítov;96
Černošice;Dobrovíz;455
Sušice;Dobršín;96
Dobruška;Dobruška;5669
Dobruška;Dobřany;109
Stod;Dobřany;5042
Říčany;Dobřejovice;777
Mělník;Dobřeň;148
Hradec Králové;Dobřenice;477
Kralovice;Dobříč;354
Černošice;Dobříč;270
Kolín;Dobřichov;643
Černošice;Dobřichovice;2939
Vysoké Mýto;Dobříkov;427
Roudnice nad Labem;Dobříň;467
Moravský Krumlov;Dobřínsko;347
Dobříš;Dobříš;7262
Rokycany;Dobřív;1082
Týn nad Vltavou;Dobšice;106
Znojmo;Dobšice;2003
Poděbrady;Dobšice;190
Mladá Boleslav;Dobšín;230
Hradec Králové;Dohalice;395
Roudnice nad Labem;Doksany;362
Česká Lípa;Doksy;4367
Kladno;Doksy;1343
Litoměřice;Dolánky nad Ohří;225
Jaroměř;Dolany;547
Olomouc;Dolany;2244
Pardubice;Dolany;329
Klatovy;Dolany;767
Nýřany;Dolany;239
Kladno;Dolany;211
Kralupy nad Vltavou;Dolany nad Vltavou;740
Přeštice;Dolce;254
Moravský Krumlov;Dolenice;120
Rožnov pod Radhoštěm;Dolní Bečva;1578
Kralovice;Dolní Bělá;398
Hlučín;Dolní Benešov;3512
